ID	ALIGNMENT	COGID	CONCEPT	COUNTERPART	DOCULECT	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	IPA	MODIFIED	PET	PWT	TOKENS
386	k ã - -	34	sleep	kã	KUB	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kã	FALSE	PET	PWT	k ã
387	k ã + i	34	sleep	kã-i	MAI	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kã+i	FALSE	PET	PWT	k ã + i
388	k ã + i	34	sleep	kã-i	SEK	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kã+i	FALSE	PET	PWT	k ã + i
389	k ã + i	34	sleep	kã-i	SIO	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kã+i	TRUE	PET	PWT	k ã + i
390	k ã r̃ ĩ	34	sleep	~kari	TAN	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kari	FALSE	PET	PWT	k ã r̃ ĩ
391	k ã n ĩ	34	sleep	~kadi	TUK	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kadi	FALSE	PET	PWT	k ã n ĩ
392	k ã n ĩ	34	sleep	~kadi	TUY	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kadi	FALSE	PET	PWT	k ã n ĩ
393	kh ã n ĩ	34	sleep	~khadi	WAN	dormir	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~khadi	FALSE	PET	PWT	kh ã n ĩ
394	k ã	34	sleep	-	*PT	-	-	-	-	-	*kã-	FALSE	-	-	k ã
395	k a c a	35	elevated structure (shelves roof etc.)	kaca	BAS	jirau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kaca	FALSE	PET	PWT	k a c a
396	k a j a	35	elevated structure (shelves roof etc.)	kaja	DES	jirau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kaja	FALSE	PET	PWT	k a j a
397	k a j a	35	elevated structure (shelves roof etc.)	kaja	KAR	jirau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kaja	FALSE	PET	PWT	k a j a
398	kh a j a	35	elevated structure (shelves roof etc.)	khaja	KOR	jirau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	khaja	FALSE	PET	PWT	kh a j a
399	k a j a	35	elevated structure (shelves roof etc.)	kaja	KUB	jirau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kaja	FALSE	PET	PWT	k a j a
400	k a s a	35	elevated structure (shelves roof etc.)	kasa	TUK	jirau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kasa	FALSE	PET	PWT	k a s a
401	k a s a	35	elevated structure (shelves roof etc.)	kasa	WAN	jirau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kasa	FALSE	PET	PWT	k a s a
402	k a j a	35	elevated structure (shelves roof etc.)	-	*PT	-	-	-	-	-	*kaja	FALSE	-	-	k a j a
403	k ĩ ĩ	36	manioc	kĩ	BAS	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kĩ	FALSE	PET	PWT	k ĩ ĩ
404	k ĩ ĩ	36	manioc	kĩĩ	DES	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kĩĩ	FALSE	PET	PWT	k ĩ ĩ
405	k i i	36	manioc	kii	KAR	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kii	FALSE	PET	PWT	k i i
406	kh ɨ i	36	manioc	khɨi	KOR	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	khɨi	FALSE	PET	PWT	kh ɨ i
407	k ɨ i	36	manioc	kɨi	KUB	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kɨi	FALSE	PET	PWT	k ɨ i
408	k ɨ -	36	manioc	kɨ	KUE	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kɨ	FALSE	PET	PWT	k ɨ
409	k ɨ i	36	manioc	kɨi	MAI	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kɨi	FALSE	PET	PWT	k ɨ i
410	k ɨ i	36	manioc	kɨi	SIO	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kɨi	FALSE	PET	PWT	k ɨ i
411	k i -	36	manioc	ki	TAN	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ki	FALSE	PET	PWT	k i
412	k i i	36	manioc	kii	TUK	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kii	FALSE	PET	PWT	k i i
413	kh ɨ ɨ	36	manioc	khɨɨ	WAN	mandioca	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	khɨɨ	FALSE	PET	PWT	kh ɨ ɨ
414	k ɨ i	36	manioc	-	*PT	-	-	-	-	-	*kɨi	TRUE	-	-	k ɨ i
415	k õ n ẽ	37	woodpecker	~kode	BAS	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kode	FALSE	PET	PWT	k õ n ẽ
416	k õ n ẽ	37	woodpecker	~kode	DES	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kode	FALSE	PET	PWT	k õ n ẽ
417	k õ n ẽ	37	woodpecker	~kode	KAR	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kode	FALSE	PET	PWT	k õ n ẽ
418	kh õ n e	37	woodpecker	khõne	KOR	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	khõne	FALSE	PET	PWT	kh õ n e
419	k õ n ẽ	37	woodpecker	~kode	KUB	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kode	FALSE	PET	PWT	k õ n ẽ
420	k o n e	37	woodpecker	kone	MAI	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kone	FALSE	PET	PWT	k o n e
421	k õ n e	37	woodpecker	kõne	SEK	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kõne	FALSE	PET	PWT	k õ n e
422	k o n e	37	woodpecker	kone	SIO	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kone	FALSE	PET	PWT	k o n e
423	k õ n ẽ	37	woodpecker	~kode	TUK	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kode	FALSE	PET	PWT	k õ n ẽ
424	kh õ n ẽ	37	woodpecker	~khode	WAN	pica-pau	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~khode	FALSE	PET	PWT	kh õ n ẽ
425	k o n e	37	woodpecker	-	*PT	-	-	-	-	-	*kone	FALSE	-	-	k o n e
426	( - - ) k ũ - - n ĩ	38	to bite	~kuni	BAS	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kuni	FALSE	PET	PWT	k ũ n ĩ
427	( - - ) k ũ - - n ĩ	38	to bite	~kudi	DES	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kudi	FALSE	PET	PWT	k ũ n ĩ
428	( - - ) kh ũ ʔ - - i	38	to bite	khũʔi	KOR	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	khũʔi	FALSE	PET	PWT	kh ũ ʔ i
429	( - - ) k ũ - - - -	38	to bite	~ku	KUB	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ku	FALSE	PET	PWT	k ũ
430	( - - ) k ũ - - i -	38	to bite	kũi	MAI	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kũi	FALSE	PET	PWT	k ũ i
431	( - - ) k õ - k ɨ -	38	to bite	kõkɨ	SEK	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kõkɨ	FALSE	PET	PWT	k õ k ɨ
432	( - - ) k ũ ʔ - - i	38	to bite	kũʔi	SIO	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kũʔi	FALSE	PET	PWT	k ũ ʔ i
433	k u ʔk u	38	to bite	kuʔku	TAN	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kuʔku	FALSE	PET	PWT	k u ʔk u
434	k ũ ʔn ĩ	38	to bite	~kuʔdi	TUK	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kuʔdi	FALSE	PET	PWT	k ũ ʔn ĩ
435	( b a ) k a - - - -	38	to bite	baka	TUY	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	baka	FALSE	PET	PWT	b a k a
436	( - - ) k ũ - - r̃ ĩ	38	to bite	~kuri	YUP	morder	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~kuri	FALSE	PET	PWT	k ũ r̃ ĩ
437	k ũ	38	to bite	-	*PT	-	-	-	-	-	*kũ	FALSE	-	-	k ũ
438	k u ẽ s o	39	capybara	kuẽso	KOR	Capivara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kuẽso	FALSE	PET	PWT	k u ẽ s o
439	k - e t u	39	capybara	ketu	KUE	Capivara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ketu	FALSE	PET	PWT	k e t u
440	k u e s o	39	capybara	kueso	SEK	Capivara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kueso	FALSE	PET	PWT	k u e s o
441	kʔ u e s o	39	capybara	kʔueso	SIO	Capivara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kʔueso	FALSE	PET	PWT	kʔ u e s o
442	k e e h u	39	capybara	keehu	TAN	Capivara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	keehu	FALSE	PET	PWT	k e e h u
443	k w e t j u	39	capybara	-	*PT	-	-	-	-	-	*kwetju	FALSE	-	-	k w e t j u
444	k o - d e	40	wait	kode	BAS	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kode	FALSE	PET	PWT	k o d e
445	k o - d e	40	wait	kode	DES	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kode	FALSE	PET	PWT	k o d e
446	k o - d e	40	wait	kode	KUB	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kode	FALSE	PET	PWT	k o d e
447	h o - t e	40	wait	hote	KUE	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hote	FALSE	PET	PWT	h o t e
448	- ɨ̃ - t e	40	wait	ɨ̃te	MAI	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨ̃te	FALSE	PET	PWT	ɨ̃ t e
449	- u - t e	40	wait	ute	SEK	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ute	FALSE	PET	PWT	u t e
450	k o ʔt e	40	wait	koʔte	TUK	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	koʔte	FALSE	PET	PWT	k o ʔt e
451	k o ʔt a	40	wait	koʔta	WAN	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	koʔta	FALSE	PET	PWT	k o ʔt a
452	k o - r e	40	wait	kore	YUP	esperar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kore	FALSE	PET	PWT	k o r e
453	k w ɨ tʔ e	40	wait	-	*PT	-	-	-	-	-	*kwɨtʔe	TRUE	-	-	k w ɨ tʔ e
454	( - - - - ) m ã h ã	41	macaw	~baha	BAS	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baha	FALSE	PET	PWT	m ã h ã
455	( - - - - ) m ã h ã	41	macaw	~baha	DES	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baha	FALSE	PET	PWT	m ã h ã
456	( - - - - ) m a - a	41	macaw	~baa	KAR	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baa	FALSE	PET	PWT	m a a
457	( - - - - ) m a - a	41	macaw	maa	KOR	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	maa	FALSE	PET	PWT	m a a
458	( - - - - ) m ã - -	41	macaw	~ma	KUB	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ma	FALSE	PET	PWT	m ã
459	( - - - - ) m a - -	41	macaw	ma	MAI	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ma	FALSE	PET	PWT	m a
460	t o a + m a	41	macaw	toa-ma	SEK	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	toa+ma	FALSE	PET	PWT	t o a + m a
461	( - - - - ) m a - -	41	macaw	ma	SIO	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ma	FALSE	PET	PWT	m a
462	( - - - - ) m ã h ã	41	macaw	~baha	TUK	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baha	FALSE	PET	PWT	m ã h ã
463	( - - - - ) m ã h ã	41	macaw	~baha	WAN	arara	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baha	FALSE	PET	PWT	m ã h ã
464	m a h a	41	macaw	-	*PT	-	-	-	-	-	*maha	FALSE	-	-	m a h a
465	m ã - c ĩ	42	know	~baci	BAS	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baci	FALSE	PET	PWT	m ã c ĩ
466	m ã - s ĩ	42	know	~basi	DES	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~basi	FALSE	PET	PWT	m ã s ĩ
467	m a - s i	42	know	masi	KOR	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	masi	FALSE	PET	PWT	m a s i
468	m a - h i	42	know	mahi	KUB	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mahi	FALSE	PET	PWT	m a h i
469	m a - s i	42	know	masi	KUE	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	masi	FALSE	PET	PWT	m a s i
470	m a ʔs i	42	know	maʔsi	SIO	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	maʔsi	TRUE	PET	PWT	m a ʔs i
471	m ã - s ĩ	42	know	~basi	TUK	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~basi	FALSE	PET	PWT	m ã s ĩ
472	m ã - s ĩ	42	know	~basi	TUY	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~basi	FALSE	PET	PWT	m ã s ĩ
473	m ã - s ĩ	42	know	~basi	WAN	saber	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~basi	FALSE	PET	PWT	m ã s ĩ
474	m a s i	42	know	-	*PT	-	-	-	-	-	*masi	FALSE	-	-	m a s i
475	m a - a	43	path	~baa	BAS	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baa	FALSE	PET	PWT	m a a
476	m ã ʔ ã	43	path	~baʔa	DES	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baʔa	FALSE	PET	PWT	m ã ʔ ã
477	m ã ʔ ã	43	path	~baʔa	KAR	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baʔa	FALSE	PET	PWT	m ã ʔ ã
478	m a ʔ a	43	path	maʔa	KOR	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	maʔa	FALSE	PET	PWT	m a ʔ a
479	m ã - -	43	path	~ba	KUB	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ba	FALSE	PET	PWT	m ã
480	m a - a	43	path	maa	KUE	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	maa	FALSE	PET	PWT	m a a
481	m a - -	43	path	ma	MAI	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ma	FALSE	PET	PWT	m a
482	m a ʔ a	43	path	maʔa	SEK	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	maʔa	FALSE	PET	PWT	m a ʔ a
483	m a ʔ a	43	path	maʔa	SIO	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	maʔa	FALSE	PET	PWT	m a ʔ a
484	m ã ʔ ã	43	path	~baʔa	TAN	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baʔa	FALSE	PET	PWT	m ã ʔ ã
485	m ã - -	43	path	~ba	TUK	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ba	FALSE	PET	PWT	m ã
486	m a - a	43	path	~baa	TUY	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baa	FALSE	PET	PWT	m a a
487	m ã ʔ ã	43	path	~baʔa	WAN	caminho	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~baʔa	FALSE	PET	PWT	m ã ʔ ã
488	m a ʔ a	43	path	-	*PT	-	-	-	-	-	*maʔa	FALSE	-	-	m a ʔ a
489	m ẽ k ã	44	ant sp.	~beka	BAS	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~beka	FALSE	PET	PWT	m ẽ k ã
490	m ẽ ŋ ã	44	ant sp.	~bega	DES	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bega	FALSE	PET	PWT	m ẽ ŋ ã
491	m ẽ k ã	44	ant sp.	~beka	KAR	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~beka	FALSE	PET	PWT	m ẽ k ã
492	m e kh a	44	ant sp.	mekha	KOR	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mekha	FALSE	PET	PWT	m e kh a
493	m ẽ - ã	44	ant sp.	~bea	KUB	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bea	FALSE	PET	PWT	m ẽ ã
494	m e ki a	44	ant sp.	mekia	KUE	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mekia	FALSE	PET	PWT	m e ki a
495	m e k a	44	ant sp.	meka	MAI	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	meka	FALSE	PET	PWT	m e k a
496	m e - a	44	ant sp.	mea	SIO	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mea	FALSE	PET	PWT	m e a
497	m ẽ k ã	44	ant sp.	~beka	TAN	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~beka	FALSE	PET	PWT	m ẽ k ã
498	m ẽ k ã	44	ant sp.	~beka	TUK	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~beka	FALSE	PET	PWT	m ẽ k ã
499	m ã t∫ ɨ̃	44	ant sp.	~bat∫ɨ	WAN	formiga sp.	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bat∫ɨ	FALSE	PET	PWT	m ã t∫ ɨ̃
500	m e k a	44	ant sp.	-	*PT	-	-	-	-	-	*meka	FALSE	-	-	m e k a
501	m ĩ - m ĩ	45	hummingbird	~bibi	BAS	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bibi	FALSE	PET	PWT	m ĩ m ĩ
502	m ĩ - m ĩ	45	hummingbird	~bibi	DES	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bibi	FALSE	PET	PWT	m ĩ m ĩ
503	m ĩ - m ĩ	45	hummingbird	~bibi	KAR	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bibi	FALSE	PET	PWT	m ĩ m ĩ
504	m i - m i	45	hummingbird	mimi	KOR	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mimi	FALSE	PET	PWT	m i m i
505	m ĩ - m ĩ	45	hummingbird	~bibi	KUB	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bibi	FALSE	PET	PWT	m ĩ m ĩ
506	m i - m i	45	hummingbird	mimi	KUE	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mimi	FALSE	PET	PWT	m i m i
507	m i - m i	45	hummingbird	mimi	MAI	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mimi	FALSE	PET	PWT	m i m i
508	m i - m i	45	hummingbird	mimi	SEK	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mimi	FALSE	PET	PWT	m i m i
509	m i - m i	45	hummingbird	mimi	SIO	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mimi	FALSE	PET	PWT	m i m i
510	m ĩ - m ĩ	45	hummingbird	~bibi	TUK	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bibi	FALSE	PET	PWT	m ĩ m ĩ
511	w̃ ĩ ʔm ĩ	45	hummingbird	~wiʔbi	WAN	beija-flor	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~wiʔbi	FALSE	PET	PWT	w̃ ĩ ʔm ĩ
512	m i m i	45	hummingbird	-	*PT	-	-	-	-	-	*mimi	FALSE	-	-	m i m i
513	m ɨ̃ - ã ( - - - - - - )	46	you all	~bɨa	BAS	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bɨa	FALSE	PET	PWT	m ɨ̃ ã
514	m ɨ̃ - ã ( - - - - - - )	46	you all	~bɨa	DES	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bɨa	FALSE	PET	PWT	m ɨ̃ ã
515	m ɨ̃ s ã ( - - - - - - )	46	you all	~bɨsa	KAR	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bɨsa	FALSE	PET	PWT	m ɨ̃ s ã
516	m ɨ s a ( n ɨ kh o n a )	46	you all	mɨsanɨkhona	KOR	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mɨsanɨkhona	FALSE	PET	PWT	m ɨ s a n ɨ kh o n a
517	m ɨ̃ h ã ( - - - - - - )	46	you all	~bɨha	KUB	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bɨha	FALSE	PET	PWT	m ɨ̃ h ã
518	m ɨ t a ( - - - - - - )	46	you all	mɨta	KUE	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mɨta	FALSE	PET	PWT	m ɨ t a
519	m ɨ s a ( - - - - - - )	46	you all	mɨsa	MAI	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mɨsa	FALSE	PET	PWT	m ɨ s a
520	m ɨ s a ( - - r - - u )	46	you all	mɨsaru	SEK	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mɨsaru	FALSE	PET	PWT	m ɨ s a r u
521	m ɨ s a ( - - k - w a )	46	you all	mɨsakwa	SIO	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	mɨsakwa	FALSE	PET	PWT	m ɨ s a k w a
522	m ĩ h ã ( - - - - - - )	46	you all	~biha	TAN	vocês	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~biha	FALSE	PET	PWT	m ĩ h ã
